census_id,municipality,state,rank,url,description
124960,VILLAGE OF WEST DUNDEE,IL,2,https://www.wdundee.org/Documents/Departments/All%20Forms%20And%20Applications/Administration%20and%20Finance/FOIA-Request-Village-FILLABLE-Form.pdf?t=202509261049060,General Village FOIA fillable PDF that covers municipal records (use of the form not required). Official and comprehensive; good alternative if you prefer a downloadable/printable form or need to attach supporting documents.
124960,VILLAGE OF WEST DUNDEE,IL,3,https://cms3.revize.com/revize/dundee/Documents/Departments/All%20Forms%20And%20Applications/Administration%20and%20Finance/FOIA-Request-Admin-Finance-FILLABLE-Form.pdf,FOIA fillable PDF targeted to Administration/Finance. Can be used for planning/zoning records but is narrower in scope than the general Village form and less convenient than the online form — useful if you know the records are held by Admin/Finance or need a department‑specific submission.
208174,CITY OF BARDSTOWN,KY,1,https://www.cityofbardstown.org/government/request_open_records/Open%20Records%20Policy%20with%20AG%20Request%20Form%202024%20%281%29.pdf,"City-wide Request for Open Records form (PDF) to request public records from the City of Bardstown; includes submission instructions (drop off, mail, or email to openrecords@bardstownconnect.com)."
209545,CITY OF TEXARKANA,TX,1,https://www.texasattorneygeneral.gov/sites/default/files/files/divisions/open-government/Public-Information-Request-Form-10-01-19.pdf,Texas Attorney General's generic Public Information Request form (PDF) for requesting records under the Texas Public Information Act; not specific to Texarkana but can be used to request city/town records (including planning/zoning) from a municipal government.
111414,CITY OF WOODWARD,OK,1,https://www.cityofwoodward-ok.gov/FormCenter/Court-Clerk-5/City-Clerk-Request-for-Information-49,"City Clerk 'Request for Information' online form with explicit fields for records requested, desired format, fees, and requester contact — most direct and complete for asking for historical zoning ordinances and archives."
111414,CITY OF WOODWARD,OK,2,https://www.cityofwoodward-ok.gov/306/Record-Request-Form,General Record Request Form linked from the City Clerk page; suitable for obtaining ordinances but appears more generic/simpler than the City Clerk form (may require follow-up for format/fee details).
174977,TOWN OF FORT MILL,SC,1,https://www.fortmillsc.gov/FormCenter/Freedom-of-Information-Act-FOIA-6/Freedom-of-Information-Act-FOIA-Request-48,"Best option — an online FOIA/public records request that explicitly lets you specify the department (including Planning), describe the records, choose delivery method, and notes the FOIA fee schedule. Most direct and convenient for requesting historical zoning ordinances or archives."
174977,TOWN OF FORT MILL,SC,2,https://fortmillsc.gov/FormCenter/Freedom-of-Information-Act-FOIA-6/Freedom-of-Information-Act-FOIA-Request-48,Good alternative — the FormCenter page (non-www) for the FOIA request. Appears to be the same online request entry point and includes a link to a printable FOIA PDF. Useful if you prefer the site-hosted form or need the printable copy.
174977,TOWN OF FORT MILL,SC,3,https://fortmillsc.gov/DocumentCenter/View/555/Freedom-of-Information-Act-FOIA-Request-Form,"Direct PDF of the FOIA request form — perfectly usable and appropriate for requesting records, but less convenient than the interactive online FormCenter version. Good fallback if you prefer to download, print, sign, and submit a paper request."
160982,CITY OF CLARKSVILLE,AR,1,https://wardarkansas.org/documents/398/2019_Ward_FOIA_Request_Form__for_handwritten_.pdf,"A general FOIA/public records request form (PDF) for requesting public records from the City of Ward (Arkansas), suitable for obtaining city documents such as ordinances or zoning records."
183854,CITY OF SONOMA,CA,1,https://sonomacity.civicweb.net/Portal/CitizenEngagement.aspx,Link to the City of Sonoma's CivicWeb portal for submitting general public records requests under the California Public Records Act (a citywide records request portal).
184452,CITY OF RANCHO PALOS VERDES,CA,1,https://www.rpvca.gov/FormCenter/City-Service-Requests-3/Public-Records-Request-Form-54,"City's CivicPlus online Public Records Request (City Clerk) page — provides an online submission interface and also offers the PDF. Best choice because it allows direct electronic submission to the City Clerk, captures required fields (request description, date range, contact info, preferred format) and is explicitly tied to CA Public Records Act requests, making it the easiest and most reliable way to request historical zoning ordinances/archives."
184452,CITY OF RANCHO PALOS VERDES,CA,2,https://www.rpvca.gov/DocumentCenter/View/239/Public-Records-Request-Form-PDF,"Direct PDF of the City's Public Records Request Form — fully suitable for requesting municipal records (including historical zoning ordinances). Useful if you prefer to download, print or attach to an email, but slightly less convenient than the online CivicPlus submission since it may require manual submission steps (print/mail or email)."
174627,TOWNSHIP OF ABINGTON,PA,1,https://www.abingtonpa.gov/home/showpublisheddocument/8664/638726133979470000,Official Abington Township Right-to-Know (Open Records) request form (PDF). This is the most direct and appropriate form for requesting township records such as historical zoning ordinances and archives because it is the township's own RTK form and is tailored for submission to Abington Township.
174627,TOWNSHIP OF ABINGTON,PA,2,https://www.openrecords.pa.gov/RTKL/RequestForm.cfm,"Pennsylvania Office of Open Records (OOR) online RTKL request form. Good alternative — it includes 'Abington Township (Montgomery County)' in the agency dropdown and allows online submission and tracking. Useful if you prefer an online portal or need a centralized route (or if you later need to involve the OOR for an appeal), but it's less direct than submitting using the township's own form."
135194,CITY OF GRANBURY,TX,1,https://www.granbury.org/forms.aspx?fid=153,"Official online Open Records Request form on the city website. Direct, easy to use for Texas Public Information Act requests, lets you describe records and submit electronically — best first option for requesting historical zoning ordinances/archives."
135194,CITY OF GRANBURY,TX,2,https://granbury.org/DocumentCenter/View/10809/OPEN-RECORDS-REQUEST_pdf-FILLABLE,Fillable PDF Open Records Request form. Good alternative when you want an offline/copyable record of your request; explicitly suited for general city records (including planning/zoning). Slightly less convenient than the online submission but useful for documentation and email/print submission.
135194,CITY OF GRANBURY,TX,3,https://tx-granbury2.civicplus.com/forms.aspx?fid=153,CivicPlus-hosted copy of the city's Open Records Request form (appears to mirror the official form). Usable for requests but likely redundant with the official granbury.org page; ranked lower because it's a duplicate/alternate host rather than the primary city domain.
174189,TOWNSHIP OF READING,PA,1,https://www.openrecords.pa.gov/Documents/RTKL/RTKRequestForm.pdf,"Statewide Pennsylvania Right-to-Know Law (RTKL) request PDF — official, generic RTK form accepted by PA municipal agencies. Best and most direct choice for requesting historical zoning ordinances/archives from Township of Reading when a township-specific form is not available."
174189,TOWNSHIP OF READING,PA,2,https://www.readingpa.gov/images/pdfs/RTK_Form_08-22-19.pdf,"City of Reading RTK/public records form — a direct municipal form but tailored to the City of Reading, not the Township of Reading. Useful as a template or if the township accepts municipal-style submissions, but less likely to be the correct/accepted form for the township."
185783,TOWN OF BERWICK,ME,1,https://www.southberwickmaine.org/how_do_i/apply_for_obtain/index.php,Link to the Freedom of Access Act (FOAA) / Information Request Form page for requesting town records (general public records request for the town).
